condition,family,level,tick,seed,correct,value,label,stop_reason,tool_calls
C0,argmax,10,"10000,12",1,False,0.5942399566356626,incorrect,stop,0
C0,argmax,10,"10000,12",2,False,0.48464226943803257,incorrect,stop,0
C0,argmax,10,"10000,12",3,False,0.5737938591227796,incorrect,stop,0
C0,argmax,10,"10000,12",4,False,0.6877550461486815,incorrect,stop,0
C0,argmax,10,"10000,12",5,False,0.6913998122508856,incorrect,stop,0
C0,argmax,10,"10000,12",6,False,0.8026823406960114,incorrect,stop,0
C0,argmax,10,"10000,12",7,False,0.8222129647399496,incorrect,stop,0
C0,argmax,10,"10000,12",8,False,0.2684743030997358,incorrect,stop,0
C0,argmax,9,"1000,6",1,False,0.6487259929702729,incorrect,stop,0
C0,argmax,9,"1000,6",2,False,0.997377431881549,incorrect,stop,0
C0,argmax,9,"1000,6",3,False,0.2322430524445067,incorrect,stop,0
C0,argmax,9,"1000,6",4,False,0.16850299006655906,incorrect,stop,0
C0,argmax,9,"1000,6",5,False,0.9282300118770902,incorrect,stop,0
C0,argmax,9,"1000,6",6,False,0.68521422793713,incorrect,stop,0
C0,argmax,9,"1000,6",7,False,0.937010885850148,incorrect,stop,0
C0,argmax,9,"1000,6",8,False,0.8298635477324456,incorrect,stop,0
C0,argmax,5,"100,2",1,False,0.33878297259690204,incorrect,stop,0
C0,argmax,5,"100,2",2,False,0.73210652514745,incorrect,stop,0
C0,argmax,5,"100,2",3,False,0.1929025563299926,incorrect,stop,0
C0,argmax,5,"100,2",4,False,0.9668429474491964,incorrect,stop,0
C0,argmax,5,"100,2",5,False,0.987406306738764,incorrect,stop,0
C0,argmax,5,"100,2",6,False,0.029068955231249215,incorrect,stop,0
C0,argmax,5,"100,2",7,False,0.8334730976398783,incorrect,stop,0
C0,argmax,5,"100,2",8,False,0.7313939439800542,incorrect,stop,0
C0,argmax,6,"100,3",1,False,0.9625313949849976,incorrect,stop,0
C0,argmax,6,"100,3",2,False,0.6534787774317341,incorrect,stop,0
C0,argmax,6,"100,3",3,False,0.740809044359464,incorrect,stop,0
C0,argmax,6,"100,3",4,False,0.3134928165139976,incorrect,stop,0
C0,argmax,6,"100,3",5,False,0.26678694777954726,incorrect,stop,0
C0,argmax,6,"100,3",6,False,0.9462771174409088,incorrect,stop,0
C0,argmax,6,"100,3",7,False,0.23569644790583394,incorrect,stop,0
C0,argmax,6,"100,3",8,False,0.7934859567505429,incorrect,stop,0
C0,argmax,1,"10,1",1,False,0.7218701526334298,incorrect,stop,0
C0,argmax,1,"10,1",2,False,0.7734728962011862,incorrect,stop,0
C0,argmax,1,"10,1",3,True,1.0,correct,stop,0
C0,argmax,1,"10,1",4,True,1.0,correct,stop,0
C0,argmax,1,"10,1",5,True,1.0,correct,stop,0
C0,argmax,1,"10,1",6,True,1.0,correct,stop,0
C0,argmax,1,"10,1",7,True,1.0,correct,stop,0
C0,argmax,1,"10,1",8,False,0.9122183490130856,incorrect,stop,0
C0,argmax,7,"200,3",1,False,0.9262699331758293,incorrect,stop,0
C0,argmax,7,"200,3",2,False,0.7355939937347792,incorrect,stop,0
C0,argmax,7,"200,3",3,False,0.8174270677001234,incorrect,stop,0
C0,argmax,7,"200,3",4,False,0.3510517668920685,incorrect,stop,0
C0,argmax,7,"200,3",5,False,0.7932494716599849,incorrect,stop,0
C0,argmax,7,"200,3",6,False,0.8541703850891748,incorrect,stop,0
C0,argmax,7,"200,3",7,False,0.7066574586150275,incorrect,stop,0
C0,argmax,7,"200,3",8,False,0.37969992610152337,incorrect,stop,0
C0,argmax,2,"20,1",1,False,0.2276319740260178,incorrect,stop,0
C0,argmax,2,"20,1",2,False,0.5861427577125187,incorrect,stop,0
C0,argmax,2,"20,1",3,True,1.0,correct,stop,0
C0,argmax,2,"20,1",4,True,1.0,correct,stop,0
C0,argmax,2,"20,1",5,True,1.0,correct,stop,0
C0,argmax,2,"20,1",6,True,1.0,correct,stop,0
C0,argmax,2,"20,1",7,False,0.708787972211212,incorrect,stop,0
C0,argmax,2,"20,1",8,False,0.8240749129574964,incorrect,stop,0
C0,argmax,8,"500,4",1,False,0.4522194402984432,incorrect,stop,0
C0,argmax,8,"500,4",2,False,0.5425569578324634,incorrect,stop,0
C0,argmax,8,"500,4",3,False,0.5703778370133777,incorrect,stop,0
C0,argmax,8,"500,4",4,False,0.30957695094113574,incorrect,stop,0
C0,argmax,8,"500,4",5,False,0.523975695465372,incorrect,stop,0
C0,argmax,8,"500,4",6,False,0.4986068792470433,incorrect,stop,0
C0,argmax,8,"500,4",7,False,0.06960448439043165,incorrect,stop,0
C0,argmax,8,"500,4",8,False,0.8864810482121057,incorrect,stop,0
C0,argmax,3,"50,1",1,False,0.7497702019848608,incorrect,stop,0
C0,argmax,3,"50,1",2,False,0.5971994924751833,incorrect,stop,0
C0,argmax,3,"50,1",3,False,0.9554663565091787,incorrect,stop,0
C0,argmax,3,"50,1",4,True,1.0,correct,stop,0
C0,argmax,3,"50,1",5,False,0.9917897714881508,incorrect,stop,0
C0,argmax,3,"50,1",6,True,1.0,correct,stop,0
C0,argmax,3,"50,1",7,False,0.9819831973606554,incorrect,stop,0
C0,argmax,3,"50,1",8,False,0.696765784294661,incorrect,stop,0
C0,argmax,4,"50,2",1,False,0.9360038557239305,incorrect,stop,0
C0,argmax,4,"50,2",2,False,0.710083550716778,incorrect,stop,0
C0,argmax,4,"50,2",3,False,0.9954832736545899,incorrect,stop,0
C0,argmax,4,"50,2",4,False,0.6475902408666088,incorrect,stop,0
C0,argmax,4,"50,2",5,False,0.3002537415153438,incorrect,stop,0
C0,argmax,4,"50,2",6,False,0.7139186147630827,incorrect,stop,0
C0,argmax,4,"50,2",7,False,0.9714645527756546,incorrect,stop,0
C0,argmax,4,"50,2",8,True,1.0,correct,stop,0
C0,automata,8,12,1,False,0.6,incorrect,stop,0
C0,automata,8,12,2,False,0.6,incorrect,stop,0
C0,automata,8,12,3,False,0.5,incorrect,stop,0
C0,automata,8,12,4,False,0.4,incorrect,stop,0
C0,automata,8,12,5,False,0.7,incorrect,stop,0
C0,automata,8,12,6,False,0.5,incorrect,stop,0
C0,automata,8,12,7,False,0.5,incorrect,stop,0
C0,automata,8,12,8,False,0.5,incorrect,stop,0
C0,automata,9,16,1,False,0.4,incorrect,stop,0
C0,automata,9,16,2,False,0.4,incorrect,stop,0
C0,automata,9,16,3,False,0.4,incorrect,stop,0
C0,automata,9,16,4,False,0.6,incorrect,stop,0
C0,automata,9,16,5,False,0.7,incorrect,stop,0
C0,automata,9,16,6,False,0.4,incorrect,stop,0
C0,automata,9,16,7,False,0.6,incorrect,stop,0
C0,automata,9,16,8,False,0.6,incorrect,stop,0
C0,automata,1,1,1,False,0.8,incorrect,stop,0
C0,automata,1,1,2,True,1.0,correct,stop,0
C0,automata,1,1,3,False,0.8,incorrect,stop,0
C0,automata,1,1,4,False,0.9,incorrect,stop,0
C0,automata,1,1,5,True,1.0,correct,stop,0
C0,automata,1,1,6,False,0.9,incorrect,stop,0
C0,automata,1,1,7,False,0.8,incorrect,stop,0
C0,automata,1,1,8,True,1.0,correct,stop,0
C0,automata,2,2,1,False,0.6,incorrect,stop,0
C0,automata,2,2,2,True,1.0,correct,stop,0
C0,automata,2,2,3,False,0.6,incorrect,stop,0
C0,automata,2,2,4,True,1.0,correct,stop,0
C0,automata,2,2,5,True,1.0,correct,stop,0
C0,automata,2,2,6,False,0.7,incorrect,stop,0
C0,automata,2,2,7,False,0.5,incorrect,stop,0
C0,automata,2,2,8,True,1.0,correct,stop,0
C0,automata,10,32,1,False,0.5,incorrect,stop,0
C0,automata,10,32,2,False,0.5,incorrect,stop,0
C0,automata,10,32,3,False,0.6,incorrect,stop,0
C0,automata,10,32,4,False,0.7,incorrect,stop,0
C0,automata,10,32,5,False,0.8,incorrect,stop,0
C0,automata,10,32,6,False,0.7,incorrect,stop,0
C0,automata,10,32,7,False,0.2,incorrect,stop,0
C0,automata,10,32,8,False,0.8,incorrect,stop,0
C0,automata,3,3,1,True,1.0,correct,stop,0
C0,automata,3,3,2,False,0.4,incorrect,stop,0
C0,automata,3,3,3,True,1.0,correct,stop,0
C0,automata,3,3,4,False,0.8,incorrect,stop,0
C0,automata,3,3,5,True,1.0,correct,stop,0
C0,automata,3,3,6,False,0.7,incorrect,stop,0
C0,automata,3,3,7,False,0.8,incorrect,stop,0
C0,automata,3,3,8,True,1.0,correct,stop,0
C0,automata,4,4,1,False,0.6,incorrect,stop,0
C0,automata,4,4,2,False,0.5,incorrect,stop,0
C0,automata,4,4,3,False,0.5,incorrect,stop,0
C0,automata,4,4,4,False,0.7,incorrect,stop,0
C0,automata,4,4,5,True,1.0,correct,stop,0
C0,automata,4,4,6,False,0.8,incorrect,stop,0
C0,automata,4,4,7,False,0.6,incorrect,stop,0
C0,automata,4,4,8,False,0.8,incorrect,stop,0
C0,automata,5,5,1,False,0.4,incorrect,stop,0
C0,automata,5,5,2,False,0.6,incorrect,stop,0
C0,automata,5,5,3,False,0.5,incorrect,stop,0
C0,automata,5,5,4,False,0.3,incorrect,stop,0
C0,automata,5,5,5,True,1.0,correct,stop,0
C0,automata,5,5,6,False,0.5,incorrect,stop,0
C0,automata,5,5,7,False,0.7,incorrect,stop,0
C0,automata,5,5,8,False,0.3,incorrect,stop,0
C0,automata,6,6,1,False,0.5,incorrect,stop,0
C0,automata,6,6,2,False,0.4,incorrect,stop,0
C0,automata,6,6,3,False,0.8,incorrect,stop,0
C0,automata,6,6,4,False,0.5,incorrect,stop,0
C0,automata,6,6,5,False,0.7,incorrect,stop,0
C0,automata,6,6,6,False,0.3,incorrect,stop,0
C0,automata,6,6,7,False,0.3,incorrect,stop,0
C0,automata,6,6,8,False,0.4,incorrect,stop,0
C0,automata,7,8,1,False,0.5,incorrect,stop,0
C0,automata,7,8,2,False,0.5,incorrect,stop,0
C0,automata,7,8,3,False,0.4,incorrect,stop,0
C0,automata,7,8,4,False,0.5,incorrect,stop,0
C0,automata,7,8,5,False,0.2,incorrect,stop,0
C0,automata,7,8,6,False,0.4,incorrect,stop,0
C0,automata,7,8,7,False,0.6,incorrect,stop,0
C0,automata,7,8,8,False,0.5,incorrect,stop,0
C0,chaos,9,L16,1,False,0.0,incorrect,stop,0
C0,chaos,9,L16,2,False,0.25,incorrect,stop,0
C0,chaos,9,L16,3,False,0.0,incorrect,stop,0
C0,chaos,9,L16,4,False,0.5,incorrect,stop,0
C0,chaos,9,L16,5,False,0.0,incorrect,stop,0
C0,chaos,9,L16,6,False,0.0,incorrect,stop,0
C0,chaos,9,L16,7,False,0.0,incorrect,stop,0
C0,chaos,9,L16,8,False,0.0,incorrect,stop,0
C0,chaos,1,H1,1,True,1.0,correct,stop,0
C0,chaos,1,H1,2,True,1.0,correct,stop,0
C0,chaos,1,H1,3,True,1.0,correct,stop,0
C0,chaos,1,H1,4,False,0.75,incorrect,stop,0
C0,chaos,1,H1,5,True,1.0,correct,stop,0
C0,chaos,1,H1,6,True,1.0,correct,stop,0
C0,chaos,1,H1,7,False,0.75,incorrect,stop,0
C0,chaos,1,H1,8,True,1.0,correct,stop,0
C0,chaos,2,L1,1,False,0.5,incorrect,stop,0
C0,chaos,2,L1,2,True,1.0,correct,stop,0
C0,chaos,2,L1,3,False,0.75,incorrect,stop,0
C0,chaos,2,L1,4,False,0.75,incorrect,stop,0
C0,chaos,2,L1,5,False,0.75,incorrect,stop,0
C0,chaos,2,L1,6,False,0.75,incorrect,stop,0
C0,chaos,2,L1,7,False,0.75,incorrect,stop,0
C0,chaos,2,L1,8,False,0.5,incorrect,stop,0
C0,chaos,3,L2,1,False,0.5,incorrect,stop,0
